Policy ID,Client,Account Owner,Product Line,Country,Region,Distribution,Retail Broker,Business Type,Inception Date,Expiry Date,Status,Currency,FX Rate (per GBP),Premium (Local),GWP (GBP),Brokerage %,Revenue (GBP)
BTD-2025-00626,Salterton Electronics,Eleanor Voss,Terrorism,United Kingdom,UK & Ireland,Retail,,New Business,2025-09-04,2026-09-04,Live,GBP,1.0,15370,15370.0,0.2018,3101.67
BTD-2024-00169,Crayford Dynamics,Marcus Ridley,Professional Indemnity,United Kingdom,UK & Ireland,Wholesale,Ainsworth & Pike,New Business,2024-06-21,2025-06-21,Expired,GBP ,1.0,2950,2950.0,0.0778,229.51
BTD-2025-00601,Wardlow Precision,Marcus Ridley,Cyber,Nigeria,Middle East & Africa,Wholesale ,Kilbride Risk Advisers,New Business,2025-08-01,2026-08-01,Live,USD,1.27,14940,11763.78,0.0769,904.63
BTD-2025-00687,Meridian Vale Energy,Tom Beckwith,Product Recall,United Kingdom,UK & Ireland,Wholesale,Denholm Marsh Brokers,New Business,2025-11-14,2026-11-14,Live,GBP,1.0,71220,71220.0,0.0956,6808.63
BTD-2025-00474,Saltmarsh Infrastructure plc,Sofia Almeida,Marine Cargo,Colombia,Latin America,retail,,Renewal,2025-04-01,2026-04-01,Renewed,USD,1.27,10430,8212.6,0.1285,1055.32
BTD-2024-00298,Marchwood Engineering,Priya Nandakumar,Fixated Threat,United Kingdom,UK & Ireland,Retail,,Renewal,2024-11-01,2025-11-01,Expired,GBP,1.0,670,670.0,0.2593,173.73
BTD-2025-00583,Kestrel Field Services,Tom Beckwith,Fixated Threat,United States,North America,Retail,,New Business,2025-07-12,2026-07-12,Live,USD,1.27,4380,3448.82,0.2488,858.07
BTD-2025-00691,Northgate Pharmaceuticals,Sofia Almeida,Political Violence,Iraq,Middle East & Africa,Retail,,Renewal,2025-11-03,2026-11-03,Live,USD,1.27,71510,56307.09,0.195,10979.88
BTD-2025-00520,Sandringham Bio,Priya Nandakumar,Liability,United Kingdom,UK & Ireland,Retail,,New Business,2025-06-01,2026-06-01,Expired,GBP,1.0,14410,14410.0,0.1691,2436.73
BTD-2026-00862,Carrowmore Shipping,Priya Nandakumar,Marine Cargo,United States,North America,retail,,Renewal,2026-04-01,2026-10-01,Live,USD,1.27,3930,3094.49,0.1336,413.42
BTD-2025-00360,Pillerton Pharma,Sofia Almeida,Political Violence,Italy,Europe,Retail,,New Business,2025-01-01,2026-01-01,Expired,EUR,1.17,38560,32957.26,0.1887,6219.04
BTD-2026-00763,Wrayburn Motors,E Voss,Political Violence,Japan,Asia Pacific,Wholesale,Lansdowne Brokers Group,New Business,2026-01-01,2027-01-01,Live,USD,1.27,33960,26740.16,0.111,2968.16
BTD-2024-00066,Fennmoor Water Services,Sofia Almeida,Marine Cargo,Australia,Asia Pacific,Retail,,New Business,2024-02-01,2025-02-01,Renewed,AUD,1.93,14640,7585.49,0.133,1008.87
BTD-2026-00939,Alderney Freight Ltd,Tom Beckwith,Fixated Threat,Malaysia,Asia Pacific,Wholesale,Jardine Wray Partners,Renewal,2026-06-01,2027-06-01,Live,USD,1.27,2080,1637.8,0.1447,236.99
BTD-2025-00352,Yeadon Rail Services,Marcus Ridley,Liability,Malaysia,Asia Pacific,Wholesale,Denholm Marsh Brokers,New Business,2025-01-01,2026-01-01,Renewed,USD,1.27,4910,3866.14,0.0936,361.87
BTD-2024-00104,Kelsterne Beverages,Sofia Almeida,Political Violence,Nigeria,Middle East & Africa,Retail,,New Business,2024-04-01,2025-04-01,Expired,USD,1.27,37950,29881.89,0.193,5767.2
BTD-2025-00617,Thornbury Aid Foundation,Priya Nandakumar,Liability,Netherlands,Europe,Retail,,Renewal,2025-09-01,2026-09-01,Live,EUR,1.17,20900,17863.25,0.1761,3145.72
BTD-2024-00173,Kestrel Field Services,Tom Beckwith,Active Assailant,United Kingdom,UK & Ireland,Wholesale,Calderstone Risk Partners,New Business,2024-06-01,2025-06-01,Renewed,GBP,1.0,18910,18910.0,0.1144,2163.3
BTD-2025-00503,Brackenhill Logistics,Marcus Ridley,Liability,United Kingdom,UK & Ireland,Wholesale,Ainsworth & Pike,New Business,2025-05-03,2026-05-03,Renewed,GBP,1.0,19310,19310.0,0.0947,1828.66
BTD-2024-00054,Meridian Vale Energy,Eleanor Voss,Active Assailant,Colombia,Latin America,Wholesale ,Eastgate Commercial Risks,New Business,2024-01-01,2025-01-01,Expired,USD,1.27,26420,20803.15,0.1171,2436.05
BTD-2024-00192,Newlyn Bay Fisheries,Tom Beckwith,Professional Indemnity,UK,UK & Ireland,Wholesale,Eastgate Commercial Risks,New Business,2024-07-17,2025-07-17,Expired,GBP,1.0,5640,5640.0,0.0833,469.81
BTD-2025-00378,Tarnbeck Utilities,Sofia Almeida,Terrorism,South Africa,Middle East & Africa,Wholesale,Kilbride Risk Advisers,Renewal,2025-01-08,2026-01-08,Expired,ZAR,23.5,392700,16710.64,0.1099,1836.5
BTD-2024-00100,Willowbrook Care Group,E Voss,Active Assailant,Australia,Asia Pacific,Wholesale,Ainsworth & Pike,Renewal,2024-04-01,2025-04-01,Renewed,AUD,1.93,10390,5383.42,0.1246,670.77
BTD-2026-00870,Rothersay Shipping Lines,Callum Reid,Personal Accident,United Kingdom,UK & Ireland,Retail,,Renewal,2026-04-01,2027-04-01,Live,GBP,1.0,2600,2600.0,0.1959,509.34
BTD-2025-00451,Bellhaven Foods Group,Priya Nandakumar,Personal Accident,Mexico,Latin America,Retail,,New Business,2025-04-01,2026-04-01,Renewed,USD,1.27,5090,4007.87,0.207,829.63
BTD-2026-00878,Meridian Vale Energy,Priya Nandakumar,Active Assailant,United Kingdom,UK & Ireland,Wholesale,Fairweather & Co,New Business,2026-04-13,2027-04-13,Live,GBP,1.0,31500,31500.0,0.1204,3792.6
BTD-2024-00121,Bellhaven Foods Group,Tom Beckwith,Terrorism,Canada,North America,Retail,,New Business,2024-04-05,2025-04-05,Renewed,CAD,1.72,21320,12395.35,0.2147,2661.28
BTD-2024-00171,Tarnbeck Utilities,Eleanor Voss,Kidnap & Ransom,UK,UK & Ireland,Retail,,New Business,2024-06-07,2025-06-07,Renewed,GBP,1.0,12090,12090.0,0.2655,3209.9
BTD-2026-00831,Strathallan Whisky Co,Eleanor Voss,Kidnap & Ransom,Israel,Middle East & Africa,Retail,,New Business,2026-03-11,2026-09-11,Live,USD,1.27,10620,8362.2,0.2539,2123.16
BTD-2026-00852,Grantley Sports Holdings,Marcus Ridley,D&O,United Kingdom,UK & Ireland,Wholesale,Barrenger Insurance Brokers,Renewal,2026-04-16,2027-04-16,Live,GBP,1.0,51510,51510.0,0.0862,4440.16
BTD-2024-00050,Redcastle Minerals,Tom Beckwith,Personal Accident,Israel,Middle East & Africa,Wholesale,Barrenger Insurance Brokers,New Business,2024-01-02,2025-01-02,Expired,USD,1.27,2720,2141.73,0.1101,235.8
BTD-2026-00938,Grantley Sports Holdings,Priya Nandakumar,Fixated Threat,Japan,Asia Pacific,Wholesale,Grindley Risk Services,New Business,2026-06-14,2027-06-14,Live,USD,1.27,3100,2440.94,0.1371,334.65
BTD-2024-00029,Hexworthy Tunnelling,Tom Beckwith,D&O,US,North America,Wholesale,Norbury Risk Solutions,New Business,2024-01-22,2025-01-22,Renewed,USD,1.27,13910,10952.76,0.0858,939.75
BTD-2025-00665,Caldwell Maritime Holdings,Priya Nandakumar,Personal Accident,Greece,Europe,Wholesale,Lansdowne Brokers Group,New Business,2025-10-20,2026-10-20,Live,EUR,1.17,7140,6102.56,0.1084,661.52
BTD-2026-00946,Whitmoor Recycling,Marcus Ridley,Cyber,Australia,Asia Pacific,Retail,,Renewal,2026-06-01,2027-06-01,Live,AUD,1.93,24160,12518.13,0.1617,2024.18
BTD-2026-00818,Carrowmore Shipping,Marcus Ridley,D&O,South Africa,Middle East & Africa,Wholesale,Lansdowne Brokers Group,New Business,2026-03-03,2027-03-03,Live,ZAR,23.5,388600,16536.17,0.085,1405.57
BTD-2025-00620,Northgate Pharmaceuticals,Sofia Almeida,Terrorism,Switzerland,Europe,Retail,,Renewal,2025-09-21,2026-03-21,Renewed,EUR,1.17,52540,44905.98,0.1899,8527.65
BTD-2024-00162,Langmere Telecom,Priya Nandakumar,Personal Accident,United Kingdom,UK & Ireland,Retail,,New Business,2024-06-18,2025-06-18,Renewed,GBP,1.0,2350,2350.0,0.2036,478.46
BTD-2025-00704,Ledbury Green Power,Tom Beckwith,Kidnap & Ransom,Japan,Asia Pacific,Wholesale,Ainsworth & Pike,Renewal,2025-12-12,2026-12-12,Live,USD,1.27,6640,5228.35,0.1398,730.92
BTD-2025-00667,Pentreath Marine,Tom Beckwith,Terrorism,Colombia,Latin America,Wholesale ,Merrivale Insurance Partners,Renewal,2025-10-15,2026-10-15,Live,USD,1.27,43150,33976.38,0.114,3873.31
BTD-2025-00493,Redcastle Minerals,Eleanor Voss,Kidnap & Ransom,Italy,Europe,Retail,,Renewal,2025-05-06,2026-05-06,Renewed,EUR,1.17,25640,21914.53,0.2384,5224.42
BTD-2025-00498,Harrowgate Resources Group,Sofia Almeida,Terrorism,Israel,Middle East & Africa,Wholesale,Calderstone Risk Partners,Renewal,2025-05-12,2027-05-12,Live,USD,1.27,34610,27251.97,0.1083,2951.39
BTD-2024-00129,Garrowby Petroleum,Sofia Almeida,Product Recall,Nigeria,Middle East & Africa,Retail,,New Business,2024-04-06,2025-04-06,Expired,USD,1.27,5910,4653.54,0.1865,867.89
BTD-2025-00404,Melbray Renewables,Priya Nandakumar,Marine Cargo,Israel,Middle East & Africa,Wholesale,Grindley Risk Services,New Business,2025-02-01,2026-02-01,Renewed,USD,1.27,4910,3866.14,0.07,270.63
BTD-2024-00071,Orrinshaw Media Group,Eleanor Voss,Kidnap & Ransom,United Kingdom,UK & Ireland,Retail,,New Business,2024-02-01,2025-02-01,Renewed,GBP,1.0,60260,60260.0,0.262,15788.12
BTD-2024-00239,Saltmarsh Infrastructure plc,Eleanor Voss,Terrorism,Guernsey,UK & Ireland,Retail,,New Business,2024-09-01,2025-09-01,Renewed,GBP,1.0,31470,31470.0,0.1862,5859.71
BTD-2026-00722,Ilverton Diagnostics,Callum Reid,Liability,United Kingdom,UK & Ireland,Retail,,New Business,2026-01-15,2027-01-15,Live,GBP,1.0,7920,7920.0,0.1663,1317.1
BTD-2024-00150,Shawbury Aerospace,Eleanor Voss,Active Assailant,Greece,Europe,Retail,,New Business,2024-05-01,2025-05-01,Renewed,EUR,1.17,16990,14521.37,0.235,3412.52
BTD-2026-00827,Orrinshaw Media Group,Tom Beckwith,Terrorism,United Kingdom,UK & Ireland,Retail,,Renewal,2026-03-23,2026-09-23,Live,GBP,1.0,159000,159000.0,0.1952,31036.8
BTD-2026-00743,Kestrel Field Services,Eleanor Voss,Political Violence,Australia,Asia Pacific,Retail,,New Business,2026-01-01,2025-09-06,Live,AUD,1.93,96580,50041.45,0.2075,10383.6
BTD-2025-00575,Barrowfield Housing,Callum Reid,Professional Indemnity,Canada,North America,Wholesale,Denholm Marsh Brokers,New Business,2025-07-17,2026-07-17,Live,CAD,1.72,9340,5430.23,0.0793,430.62
BTD-2025-00586,Langmere Telecom,Callum Reid,Personal Accident,USA,North America,Wholesale,Hollowell Brokers Ltd,Renewal,2025-07-14,2026-07-14,Live,USD,1.27,6050,4763.78,0.1047,498.77
BTD-2026-00854,Nethercott Foods,Priya Nandakumar,Liability,Kenya,Middle East & Africa,Retail,,New Business,19/04/2026,2027-04-19,Live,USD,1.27,7400,5826.77,0.179,1042.99
BTD-2024-00257,Caldwell Maritime Holdings,Marcus Ridley,PI,Italy,Europe,Wholesale,Fairweather & Co,New Business,2024-09-14,2025-09-14,Renewed,EUR,1.17,12460,10649.57,0.0775,825.34
BTD-2026-00877,Kestrel Field Services,Marcus Ridley,Liability,Saudi Arabia,Middle East & Africa,Retail,,New Business,2026-04-03,2027-04-03,Live,USD,1.27,134300,105748.03,0.1703,18008.89
BTD-2026-00741,Northgate Pharmaceuticals,Marcus Ridley,Cyber,United Kingdom,UK & Ireland,Wholesale,Jardine Wray Partners,Renewal,2026-01-01,2027-01-01,Live,GBP ,1.0,15450,15450.0,0.0781,1206.64
BTD-2024-00325,Caldwell Maritime Holdings,Marcus Ridley,Political Violence,United Arab Emirates,Middle East & Africa,Wholesale,Hollowell Brokers Ltd,New Business,2024-12-07,2025-12-07,Renewed,USD,1.27,78960,62173.23,0.112,6963.4
BTD-2025-00402,Ardenvale Mining Corporation,Marcus Ridley,Cyber,United Kingdom,UK & Ireland,Wholesale,Calderstone Risk Partners,New Business,2025-02-01,2026-02-01,Expired,GBP,1.0,48960,48960.0,0.0877,4293.79
BTD-2026-00875,Brackenhill Logistics,Callum Reid,D&O,Saudi Arabia,Middle East & Africa,Wholesale,Lansdowne Brokers Group,New Business,2026-04-01,2027-04-01,Live,USD,1.27,60600,47716.54,0.0878,4189.51
BTD-2026-00750,Brackenhill Logistics,Callum Reid,Professional Indemnity,Greece,Europe,Wholesale,Denholm Marsh Brokers,Renewal,2026-01-04,2027-01-04,Live,EUR,1.17,21440,18324.79,0.0827,1515.46
BTD-2024-00022,Brackenhill Logistics,Marcus Ridley,Cyber,United Kingdom,UK & Ireland,Retail,,Renewal,2024-01-01,2025-01-01,Renewed,GBP,1.0,30990,30990.0,0.1604,4970.8
BTD-2025-00524,Ashcombe Analytics,Marcus Ridley,Prof Indemnity,United Kingdom,UK & Ireland,Wholesale,Calderstone Risk Partners,New Business,2025-06-01,2026-06-01,Renewed,GBP,1.0,10070,10070.0,0.0786,791.5
BTD-2026-00872,Thornbury Aid Foundation,Priya Nandakumar,Liability,UK,UK & Ireland,Retail,,New Business,2026-04-01,2027-04-01,Live,GBP,1.0,13070,13070.0,0.1718,2245.43
BTD-2024-00058,Kelsterne Beverages,Marcus Ridley,Political Violence,United Kingdom,UK & Ireland,Wholesale,Barrenger Insurance Brokers,New Business,2024-02-01,2025-02-01,Renewed,GBP,1.0,27370,27370.0,0.118,3229.66
BTD-2024-00144,Harrowgate Resources Group,Priya Nandakumar,Personal Accident,UK,UK & Ireland,Wholesale,Norbury Risk Solutions,New Business,2024-05-16,2025-05-16,Renewed,GBP,1.0,1900,1900.0,0.1084,205.96
BTD-2024-00227,Underhill Logistics,Eleanor Voss,Terrorism,Canada,North America,Wholesale,Denholm Marsh Brokers,Renewal,2024-08-01,2025-08-01,Expired,CAD,1.72,23090,13424.42,0.1136,1525.01
BTD-2025-00523,Tarnbeck Utilities,Sofia Almeida,Terrorism,United Kingdom,UK & Ireland,Wholesale ,Ivory Lane Insurance,New Business,2025-06-15,2026-06-15,Renewed,GBP,1.0,21580,21580.0,0.1172,2529.18
BTD-2026-00770,Kestrel Field Services,Priya Nandakumar,Cyber,Israel,Middle East & Africa,Retail,,Renewal,2026-01-19,2027-01-19,Live,USD,1.27,21400,16850.39,0.1427,2404.55
BTD-2025-00400,Barrowfield Housing,Marcus Ridley,D&O,United Kingdom,UK & Ireland,Wholesale,Grindley Risk Services,New Business,2025-02-04,2026-02-04,Expired,GBP,1.0,10660,10660.0,0.0772,822.95
BTD-2026-00767,Stonegrave Construction,Eleanor Voss,Active Assailant,United Kingdom,UK & Ireland,Retail,,Renewal,2026-01-22,2027-01-22,Live,GBP,1.0,8500,8500.0,0.2214,1881.9
BTD-2026-00904,Merrowdale Timber,Sofia Almeida,Marine Cargo,Hong Kong,Asia Pacific,Retail,,New Business,25/05/2026,2027-05-25,Live,USD,1.27,13570,10685.04,0.1236,1320.67
BTD-2025-00509,Melbray Renewables,Tom Beckwith,Liability,Ireland,UK & Ireland,Retail,,Renewal,2025-06-01,2027-06-01,Live,EUR,1.17,10510,8982.91,0.1715,1540.57
BTD-2025-00689,Melbray Renewables,Eleanor Voss,Political Violence,Australia,Asia Pacific,Retail,,Renewal,2025-11-01,2026-11-01,Live,AUD,1.93,90760,47025.91,0.2054,9659.12
BTD-2024-00068,Zenmoor Technologies,Tom Beckwith,Terrorism,Canada,North America,Retail,,New Business,2024-02-01,2025-02-01,Renewed,CAD,1.72,29270,17017.44,0.206,3505.59
BTD-2026-00910,Underhill Logistics,Eleanor Voss,Cyber,Canada,North America,Retail,,New Business,2026-05-21,2027-05-21,Live,CAD,1.72,23610,13726.74,0.159,2182.55
BTD-2026-00807,Ashcombe Analytics,Sofia Almeida,Marine Cargo,Mexico,Latin America,Wholesale,Jardine Wray Partners,Renewal,2026-02-01,2027-02-01,Live,USD,1.27,8910,7015.75,0.0707,496.01
BTD-2024-00328,Marchwood Engineering,Priya Nandakumar,Professional Indemnity,United Kingdom,UK & Ireland,Wholesale,Ivory Lane Insurance,Renewal,2024-12-20,2025-12-20,Expired,GBP,1.0,10840,10840.0,0.0851,922.48
BTD-2026-00896,Harrowgate Resources Group,Marcus Ridley,Professional Indemnity,Saudi Arabia,Middle East & Africa,Wholesale ,Denholm Marsh Brokers,Renewal,2026-05-27,2027-05-27,Live,USD,1.27,42030,33094.49,0.0769,2544.97
BTD-2025-00518,Nethercott Foods,Sofia Almeida,Product Recall,Brazil,Latin America,Retail,,New Business,2025-06-24,2026-06-24,Renewed,USD,1.27,55240,43496.06,0.1753,7624.86
BTD-2024-00272,Thornbury Aid Foundation,Marcus Ridley,Kidnap & Ransom,United Kingdom,UK & Ireland,Retail,,Renewal,2024-10-20,2025-10-20,Expired,GBP,1.0,10370,10370.0,0.2387,2475.32
BTD-2026-00740,Merrowdale Timber,Sofia Almeida,Terrorism,Canada,North America,Retail,,Renewal,2026-01-24,2027-01-24,Live,CAD,1.72,41920,24372.09,0.203,4947.53
BTD-2025-00604,Fordwich Legal Group,Callum Reid,D&O,United Kingdom,UK & Ireland,Wholesale,Calderstone Risk Partners,New Business,2025-08-01,2026-08-01,Live,GBP,1.0,10020,10020.0,0.0823,824.65
BTD-2024-00260,Fordwich Legal Group,Marcus Ridley,Kidnap & Ransom,United Kingdom,UK & Ireland,Retail,,New Business,2024-10-01,2026-10-01,Live,GBP,1.0,3820,3820.0,0.2606,995.49
BTD-2025-00580,Ilverton Diagnostics,Priya Nandakumar,Personal Accident,United States,North America,Wholesale,Norbury Risk Solutions,Renewal,2025-07-01,2026-07-01,Live,USD,1.27,4390,3456.69,0.1118,386.46
